----------------------------------------
[15.12.2020 | 14:32:54] All frames loaded, count: 77
[15.12.2020 | 14:32:54] Binarization frame 0 complete!
[15.12.2020 | 14:32:54] Binarization frame 1 complete!
[15.12.2020 | 14:32:54] Binarization frame 2 complete!
[15.12.2020 | 14:32:54] Binarization frame 3 complete!
[15.12.2020 | 14:32:54] Binarization frame 4 complete!
[15.12.2020 | 14:32:54] Binarization frame 5 complete!
[15.12.2020 | 14:32:54] Binarization frame 6 complete!
[15.12.2020 | 14:32:54] Binarization frame 7 complete!
[15.12.2020 | 14:32:54] Binarization frame 8 complete!
[15.12.2020 | 14:32:54] Binarization frame 9 complete!
[15.12.2020 | 14:32:54] Binarization frame 10 complete!
[15.12.2020 | 14:32:54] Binarization frame 11 complete!
[15.12.2020 | 14:32:54] Binarization frame 12 complete!
[15.12.2020 | 14:32:54] Binarization frame 13 complete!
[15.12.2020 | 14:32:54] Binarization frame 14 complete!
[15.12.2020 | 14:32:54] Binarization frame 15 complete!
[15.12.2020 | 14:32:54] Binarization frame 16 complete!
[15.12.2020 | 14:32:54] Binarization frame 17 complete!
[15.12.2020 | 14:32:54] Binarization frame 18 complete!
[15.12.2020 | 14:32:54] Binarization frame 19 complete!
[15.12.2020 | 14:32:54] Binarization frame 20 complete!
[15.12.2020 | 14:32:54] Binarization frame 21 complete!
[15.12.2020 | 14:32:54] Binarization frame 22 complete!
[15.12.2020 | 14:32:54] Binarization frame 23 complete!
[15.12.2020 | 14:32:54] Binarization frame 24 complete!
[15.12.2020 | 14:32:54] Binarization frame 25 complete!
[15.12.2020 | 14:32:54] Binarization frame 26 complete!
[15.12.2020 | 14:32:54] Binarization frame 27 complete!
[15.12.2020 | 14:32:54] Binarization frame 28 complete!
[15.12.2020 | 14:32:54] Binarization frame 29 complete!
[15.12.2020 | 14:32:54] Binarization frame 30 complete!
[15.12.2020 | 14:32:54] Binarization frame 31 complete!
[15.12.2020 | 14:32:54] Binarization frame 32 complete!
[15.12.2020 | 14:32:54] Binarization frame 33 complete!
[15.12.2020 | 14:32:54] Binarization frame 34 complete!
[15.12.2020 | 14:32:54] Binarization frame 35 complete!
[15.12.2020 | 14:32:54] Binarization frame 36 complete!
[15.12.2020 | 14:32:54] Binarization frame 37 complete!
[15.12.2020 | 14:32:54] Binarization frame 38 complete!
[15.12.2020 | 14:32:54] Binarization frame 39 complete!
[15.12.2020 | 14:32:54] Binarization frame 40 complete!
[15.12.2020 | 14:32:54] Binarization frame 41 complete!
[15.12.2020 | 14:32:54] Binarization frame 42 complete!
[15.12.2020 | 14:32:54] Binarization frame 43 complete!
[15.12.2020 | 14:32:54] Binarization frame 44 complete!
[15.12.2020 | 14:32:54] Binarization frame 45 complete!
[15.12.2020 | 14:32:54] Binarization frame 46 complete!
[15.12.2020 | 14:32:54] Binarization frame 47 complete!
[15.12.2020 | 14:32:54] Binarization frame 48 complete!
[15.12.2020 | 14:32:54] Binarization frame 49 complete!
[15.12.2020 | 14:32:54] Binarization frame 50 complete!
[15.12.2020 | 14:32:54] Binarization frame 51 complete!
[15.12.2020 | 14:32:54] Binarization frame 52 complete!
[15.12.2020 | 14:32:54] Binarization frame 53 complete!
[15.12.2020 | 14:32:54] Binarization frame 54 complete!
[15.12.2020 | 14:32:54] Binarization frame 55 complete!
[15.12.2020 | 14:32:54] Binarization frame 56 complete!
[15.12.2020 | 14:32:54] Binarization frame 57 complete!
[15.12.2020 | 14:32:54] Binarization frame 58 complete!
[15.12.2020 | 14:32:54] Binarization frame 59 complete!
[15.12.2020 | 14:32:54] Binarization frame 60 complete!
[15.12.2020 | 14:32:54] Binarization frame 61 complete!
[15.12.2020 | 14:32:54] Binarization frame 62 complete!
[15.12.2020 | 14:32:54] Binarization frame 63 complete!
[15.12.2020 | 14:32:54] Binarization frame 64 complete!
[15.12.2020 | 14:32:54] Binarization frame 65 complete!
[15.12.2020 | 14:32:54] Binarization frame 66 complete!
[15.12.2020 | 14:32:54] Binarization frame 67 complete!
[15.12.2020 | 14:32:54] Binarization frame 68 complete!
[15.12.2020 | 14:32:54] Binarization frame 69 complete!
[15.12.2020 | 14:32:54] Binarization frame 70 complete!
[15.12.2020 | 14:32:54] Binarization frame 71 complete!
[15.12.2020 | 14:32:54] Binarization frame 72 complete!
