----------------------------------------
[17.12.2020 | 9:22:54] All frames loaded, count: 126
[17.12.2020 | 9:22:54] All frames loaded, count: 91
[17.12.2020 | 9:22:54] All frames loaded, count: 401
[17.12.2020 | 9:22:54] Binarization frame 0 complete!
[17.12.2020 | 9:22:54] Binarization frame 1 complete!
[17.12.2020 | 9:22:54] Binarization frame 2 complete!
[17.12.2020 | 9:22:54] Binarization frame 3 complete!
[17.12.2020 | 9:22:54] Binarization frame 4 complete!
[17.12.2020 | 9:22:54] Binarization frame 5 complete!
[17.12.2020 | 9:22:54] Binarization frame 6 complete!
[17.12.2020 | 9:22:54] Binarization frame 7 complete!
[17.12.2020 | 9:22:54] Binarization frame 8 complete!
[17.12.2020 | 9:22:54] Binarization frame 9 complete!
[17.12.2020 | 9:22:54] Binarization frame 10 complete!
[17.12.2020 | 9:22:54] Binarization frame 11 complete!
[17.12.2020 | 9:22:54] Binarization frame 12 complete!
[17.12.2020 | 9:22:54] Binarization frame 13 complete!
[17.12.2020 | 9:22:54] Binarization frame 14 complete!
[17.12.2020 | 9:22:54] Binarization frame 15 complete!
[17.12.2020 | 9:22:54] Binarization frame 16 complete!
[17.12.2020 | 9:22:54] Binarization frame 17 complete!
[17.12.2020 | 9:22:54] Binarization frame 18 complete!
[17.12.2020 | 9:22:54] Binarization frame 19 complete!
[17.12.2020 | 9:22:54] Binarization frame 20 complete!
[17.12.2020 | 9:22:54] Binarization frame 21 complete!
[17.12.2020 | 9:22:54] Binarization frame 22 complete!
[17.12.2020 | 9:22:54] Binarization frame 23 complete!
[17.12.2020 | 9:22:54] Binarization frame 24 complete!
[17.12.2020 | 9:22:54] Binarization frame 25 complete!
[17.12.2020 | 9:22:54] Binarization frame 26 complete!
[17.12.2020 | 9:22:54] Binarization frame 27 complete!
[17.12.2020 | 9:22:54] Binarization frame 28 complete!
[17.12.2020 | 9:22:54] Binarization frame 29 complete!
[17.12.2020 | 9:22:54] Binarization frame 30 complete!
[17.12.2020 | 9:22:54] Binarization frame 31 complete!
[17.12.2020 | 9:22:54] Binarization frame 32 complete!
[17.12.2020 | 9:22:54] Binarization frame 33 complete!
[17.12.2020 | 9:22:54] Binarization frame 34 complete!
[17.12.2020 | 9:22:54] Binarization frame 35 complete!
[17.12.2020 | 9:22:54] Binarization frame 36 complete!
[17.12.2020 | 9:22:54] Binarization frame 37 complete!
[17.12.2020 | 9:22:54] Binarization frame 38 complete!
[17.12.2020 | 9:22:54] Binarization frame 39 complete!
[17.12.2020 | 9:22:54] Binarization frame 40 complete!
[17.12.2020 | 9:22:54] Binarization frame 41 complete!
[17.12.2020 | 9:22:54] Binarization frame 42 complete!
[17.12.2020 | 9:22:54] Binarization frame 43 complete!
[17.12.2020 | 9:22:54] Binarization frame 44 complete!
[17.12.2020 | 9:22:54] Binarization frame 45 complete!
[17.12.2020 | 9:22:54] Binarization frame 46 complete!
[17.12.2020 | 9:22:54] Binarization frame 47 complete!
[17.12.2020 | 9:22:54] Binarization frame 48 complete!
[17.12.2020 | 9:22:54] Binarization frame 49 complete!
[17.12.2020 | 9:22:54] Binarization frame 50 complete!
[17.12.2020 | 9:22:54] Binarization frame 51 complete!
[17.12.2020 | 9:22:54] Binarization frame 52 complete!
[17.12.2020 | 9:22:54] Binarization frame 53 complete!
[17.12.2020 | 9:22:54] Binarization frame 54 complete!
[17.12.2020 | 9:22:54] Binarization frame 55 complete!
[17.12.2020 | 9:22:54] Binarization frame 56 complete!
[17.12.2020 | 9:22:54] Binarization frame 57 complete!
[17.12.2020 | 9:22:54] Binarization frame 58 complete!
[17.12.2020 | 9:22:54] Binarization frame 59 complete!
[17.12.2020 | 9:22:54] Binarization frame 60 complete!
[17.12.2020 | 9:22:54] Binarization frame 61 complete!
[17.12.2020 | 9:22:54] Binarization frame 62 complete!
[17.12.2020 | 9:22:54] Binarization frame 63 complete!
[17.12.2020 | 9:22:54] Binarization frame 64 complete!
[17.12.2020 | 9:22:54] Binarization frame 65 complete!
[17.12.2020 | 9:22:54] Binarization frame 66 complete!
[17.12.2020 | 9:22:54] Binarization frame 67 complete!
[17.12.2020 | 9:22:54] Binarization frame 68 complete!
[17.12.2020 | 9:22:54] Binarization frame 69 complete!
[17.12.2020 | 9:22:54] Binarization frame 70 complete!
[17.12.2020 | 9:22:54] Binarization frame 71 complete!
[17.12.2020 | 9:22:54] Binarization frame 72 complete!
[17.12.2020 | 9:22:54] Binarization frame 73 complete!
[17.12.2020 | 9:22:54] Binarization frame 74 complete!
[17.12.2020 | 9:22:54] Binarization frame 75 complete!
[17.12.2020 | 9:22:54] Binarization frame 76 complete!
[17.12.2020 | 9:22:54] Binarization frame 77 complete!
[17.12.2020 | 9:22:54] Binarization frame 78 complete!
[17.12.2020 | 9:22:54] Binarization frame 79 complete!
[17.12.2020 | 9:22:54] Binarization frame 80 complete!
[17.12.2020 | 9:22:54] Binarization frame 81 complete!
[17.12.2020 | 9:22:54] Binarization frame 82 complete!
[17.12.2020 | 9:22:54] Binarization frame 83 complete!
[17.12.2020 | 9:22:54] Binarization frame 84 complete!
[17.12.2020 | 9:22:54] Binarization frame 85 complete!
[17.12.2020 | 9:22:54] Binarization frame 86 complete!
[17.12.2020 | 9:22:54] Binarization frame 87 complete!
[17.12.2020 | 9:22:54] Binarization frame 88 complete!
[17.12.2020 | 9:22:54] Binarization frame 89 complete!
[17.12.2020 | 9:22:54] Binarization frame 90 complete!
[17.12.2020 | 9:22:54] Binarization frame 91 complete!
[17.12.2020 | 9:22:54] Binarization frame 92 complete!
[17.12.2020 | 9:22:54] Binarization frame 93 complete!
[17.12.2020 | 9:22:54] Binarization frame 94 complete!
[17.12.2020 | 9:22:54] Binarization frame 95 complete!
[17.12.2020 | 9:22:54] Binarization frame 96 complete!
[17.12.2020 | 9:22:54] Binarization frame 97 complete!
[17.12.2020 | 9:22:54] Binarization frame 98 complete!
[17.12.2020 | 9:22:54] Binarization frame 99 complete!
[17.12.2020 | 9:22:54] Binarization frame 100 complete!
[17.12.2020 | 9:22:54] Binarization frame 101 complete!
[17.12.2020 | 9:22:54] Binarization frame 102 complete!
[17.12.2020 | 9:22:54] Binarization frame 103 complete!
[17.12.2020 | 9:22:54] Binarization frame 104 complete!
[17.12.2020 | 9:22:54] Binarization frame 105 complete!
[17.12.2020 | 9:22:54] Binarization frame 106 complete!
[17.12.2020 | 9:22:54] Binarization frame 107 complete!
[17.12.2020 | 9:22:54] Binarization frame 108 complete!
[17.12.2020 | 9:22:54] Binarization frame 109 complete!
